priorite;score;nom;ville;code_postal;adresse;telephone;type_tel;email;site_web;siret;siren;note_ciblage;statut;prochaine_action;notes_appel;source
"Haute";"8";"Serrurerie Lorand";"Rennes";"35000";"83 Rue de Saint-Malo, 35000, Rennes";"02 99 31 31 31";"fixe";"contact@lorand.bzh";"https://ads35.fr";"45239314300030";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Station Multi-Services";"Reims";"51100";"38 Rue Jean-Jacques Rousseau, 51100";"03 26 47 21 35";"fixe";"commercial.sms@outlook.fr";"https://www.stationmultiservices.fr/";"39168070900022";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Champenoise Sécurité";"Reims";"51100";"8 Place Saint-Nicaise, 51100, Reims";"03 26 85 25 51";"fixe";"contact@champenoise-securite.fr";"http://www.serrurerie-champenoise-reims.fr/";"83379718600024";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Acceserrurerie";"Nîmes";"30000";"23b Rue Sully, 30000, Nîmes";"06 09 25 40 80";"mobile";"";"";"53439513200044";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"ADS";"Aix-en-Provence";"13100";"8 Rue Portalis, 13100, Aix-en-Provence";"04 42 38 03 48";"fixe";"serrurier13300@gmail.com";"https://www.latelierduserrurier.fr";"89203327500025";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Aix Press Serrurerie";"Aix-en-Provence";"";"18 Rue de la Poudrière";"06 23 38 72 96";"mobile";"";"";"94129815000017";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"AB Habitat";"Rouen";"";"9";"02 32 08 08 02";"fixe";"contact@abhabitat.fr";"https://www.abhabitat.fr/";"45398356100029";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Servix";"La Rochelle";"17000";"16 Rue du Palais, 17000, La Rochelle";"05 46 41 43 41";"fixe";"contact@servix.fr";"https://votrecentresecurite.com/";"44922468200020";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"La Serrurerie";"Chambéry";"73000";"62, 73000, Chambéry";"04 79 85 95 20";"fixe";"accueil@la-serrurerie.pro";"https://www.la-serrurerie.pro/";"42979457100027";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"Cornouaille Serrurerie";"Quimper";"";"8 Avenue de la Libération";"06 50 38 59 68";"mobile";"";"";"87974419100021";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"8";"LC Serruerie";"Versailles";"";"";"06 03 20 23 05";"mobile";"chicard.serrurerie@gmail.com";"";"89842281100023";"";"mobile direct, SIREN/SIRET vérifiable, nom d'entreprise propre, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie Générale Chevalier Frères";"Lyon";"";"";"04 72 13 06 06";"fixe";"serrureriechevalierfreres@gmail.com";"https://www.chevalierfreres-serrurier-lyon.fr/";"39783151200165";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"L'Accès";"Lyon";"";"";"04 78 39 18 18";"fixe";"contact@l-acces.com";"https://www.l-acces.com/";"95039644000055";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Rep-Serrures";"Lyon";"";"103 Rue Duguesclin";"04 78 52 07 85";"fixe";"rep.serrure@orange.fr";"";"81505846600013";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Art et Tradition";"Lyon";"";"";"04 78 68 58 11";"fixe";"art.et.tradi@gmail.com";"https://www.bricard-point-center.com/";"42335909000028";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Abeille Services";"Toulouse";"31200";"454 Route/Avenue de Fronton, 31200, Toulouse";"05 61 30 02 85";"fixe";"";"https://abeille31-depannage.fr/";"51196379500089";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie Klemain";"Nice";"";"";"04 93 52 94 94";"fixe";"klemain@klemain.fr";"https://www.klemain-serrurerie.fr/";"39098504200014";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Raimbaldi Clefs";"Nice";"";"34 Boulevard Raimbaldi";"04 93 80 52 72";"fixe";"";"https://www.raimbaldi-clefs.com/";"31937047400011";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Aluminium Eric Serrurerie";"Nice";"";"";"04 92 09 89 77";"fixe";"contact@aluminiumericserrurerie.com";"https://www.aluminiumericserrurerie.com/";"79154762300011";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Cedemma";"Nantes";"44200";"5 Boulevard Vincent Gache, 44200, Nantes";"07 65 22 76 11";"mobile";"";"https://cedemma.fr";"";"";"mobile direct, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Fleck";"Strasbourg";"";"";"03 88 75 50 20";"fixe";"sebastien.s@flecksecurite.fr";"https://www.flecksecurite-strasbourg.fr";"81321247900014";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"ADP Serrurerie";"Strasbourg";"";"";"03 88 22 00 59";"fixe";"assistance.depannage.protecle@wanadoo.fr";"https://www.adp-serrurerie.fr/";"45168223100019";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Pena Serrurerie";"Bordeaux";"";"27 Cours de la Marne";"05 56 94 76 39";"fixe";"pff@pena-serrurerie.com";"";"95276703600017";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Porquet";"Lille";"59800";"27 Avenue du Président John-Fitzgerald Kennedy, 59800, Lille";"03 20 85 79 65";"fixe";"";"http://www.asporquet.fr";"41253585800077";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie Michel Martin";"Rennes";"35000";"10 Rue de La Chalotais, 35000, Rennes";"02 99 78 24 96";"fixe";"";"https://www.serrurerie-martin.com/";"50008714300011";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Thoumyre";"Le Havre";"76600";"78 Rue de Paris, 76600, Le Havre";"02 35 42 29 08";"fixe";"";"https://www.thoumyre.fr/serrurerie-et-cles-le-havre/";"37976016800037";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Coupole services";"Nîmes";"30000";"22 Boulevard Gambetta, 30000, Nîmes";"04 66 36 06 64";"fixe";"";"https://www.coupoledeshalles.fr/les_services_coupole-services_41.html";"50816505700029";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Id Services Rapides";"Nîmes";"30000";"18 Avenue Carnot, 30000, Nîmes";"04 66 29 65 95";"fixe";"";"https://fr-fr.facebook.com/pages/category/Publisher/ID-Services-Rapides-961674283882276/";"38227317500044";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie du Passage Guerin";"Nîmes";"30000";"25 Passage Guérin, 30000, Nîmes";"06 12 23 01 73";"mobile";"";"www.serurerie-passageguerin.fr";"";"";"mobile direct, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"BVM Fermetures";"Tours";"";"37 Rue de la Victoire";"02 47 38 68 51";"fixe";"";"https://www.bvm-fermetures-serrure-rapid.fr/";"78890101500016";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Elda protection";"Tours";"37000";"24 Rue Néricault Destouches, 37000, Tours";"02 47 47 19 20";"fixe";"";"https://allo-elda-protection.fr";"32025470900019";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie Bar";"Metz";"";"";"03 87 74 16 33";"fixe";"barsecurite@barsecurite.fr";"https://www.leonbar-serrurier-57-metz.fr";"30944489100027";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Konvex Sécurité";"Metz";"";"84 Avenue André Malraux";"03 87 50 71 10";"fixe";"";"https://konvex.fr";"41129290700028";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie du Vieux Metz";"Metz";"";"";"03 87 36 21 03";"fixe";"artisansvm@laposte.net";"https://serrureriemetz.sitew.fr";"40872502600012";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Rollet SAS";"Saint-Jean-le-Blanc";"45650";"470 Rue de la Cornaillère, 45650, Saint-Jean-le-Blanc";"02 38 53 30 88";"fixe";"";"http://rollet-sa.com/";"38017926700048";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Thoumyre";"Rouen";"";"37";"02 35 89 61 25";"fixe";"";"https://www.thoumyre.fr";"31186779000017";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Thoumyre";"Rouen";"";"51";"02 35 71 42 74";"fixe";"";"https://www.thoumyre.fr";"83858492800017";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Clefstyle";"Rouen";"";"45 B Rue Armand Carrel";"02 35 70 97 22";"fixe";"";"https://www.clefstyle-76.fr/";"41065537700027";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Serrurerie Lutinier";"Caen";"";"8 Rue des Martyrs";"02 31 50 06 44";"fixe";"";"https://serrurerie-lutiner.fr/";"41053532200011";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"7";"Stan Clé";"Nancy";"";"";"09 51 81 20 32";"fixe";"contact@cordonnerie-nancy.fr";"http://cordonnerie-nancy.fr/";"88257870100014";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"7";"A2S Drouard";"Chambéry";"";"";"04 79 33 33 57";"fixe";"serrurerie@a2sdrouard.fr";"http://www.serrurerie-a2sdrouard.fr/";"50877082300021";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Cordonnerie - Serrurerie Sportes";"Lyon";"";"";"04 78 89 32 05";"fixe";"";"https://www.facebook.com/cssportes/";"33446751100021";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Arthur Service Minute";"Lyon";"";"";"06 24 17 83 21";"mobile";"";"https://arthur-service-minute.business.site/";"";"";"mobile direct, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Devauze";"Marseille";"";"153, Marseille";"04 91 90 38 69";"fixe";"contact@devauze.com";"https://www.devauze.com/";"";"";"tél fixe, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"TH Serrurier Toulouse";"Toulouse";"";"";"06 37 50 42 00";"mobile";"";"https://thserrurier-toulouse.fr";"";"";"mobile direct, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Serrurerie Eric";"Nice";"";"";"04 93 37 03 95";"fixe";"";"https://www.serrurerie-nice.fr/";"37852299900028";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Cordonnerie Nouvelle";"Nantes";"44000";"163 Rue des Hauts Pavés, 44000, Nantes";"02 40 59 66 29";"fixe";"";"";"79896758400011";"798967584";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"SERRURERIE WEINMANN SARL";"Strasbourg";"67000";"66 Rue de Zurich, 67000, Strasbourg";"03 88 35 14 14";"fixe";"";"";"44317589800016";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Bricard A.T.F.S";"Strasbourg";"67200";"11 Route des Romains, 67200, Strasbourg";"03 88 30 00 55";"fixe";"";"";"43787237700019";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Point Fort Fichet";"Reims";"51100";"2 Rue de Cernay, 51100, Reims";"03 26 40 32 93";"fixe";"reims.securite@wanadoo.fr";"https://www.fichet-pointfort.com/";"";"";"tél fixe, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"S'mell Magic";"Amiens";"";"";"03 22 91 78 60";"fixe";"";"http://www.serrurier-smellmagic.fr/";"81969222900019";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Les Clés du Paradis";"Limoges";"";"";"05 55 34 11 68";"fixe";"";"http://lesclesduparadis.fr/";"84390363400015";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Atelier Lino La Loggia";"Metz";"";"";"03 54 62 63 53";"fixe";"atelierlinolaloggiametz@gmail.com";"";"32869154800049";"328691548";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, email";"À appeler";"";"";"openstreetmap"
"Haute";"6";"AT2E";"Sotteville-lès-Rouen";"76300";"1 Rue Marcel Lechevallier, 76300, Sotteville-lès-Rouen";"02 35 73 81 45";"fixe";"at2e@bbox.fr";"https://www.at2e.fr/";"";"";"tél fixe, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Rouen Dépannage Services";"Rouen";"";"10";"02 35 08 18 33";"fixe";"info@rouen-depannage.services";"https://rouen-depannage.services/";"";"";"tél fixe, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Serrur Elec'";"Caen";"";"11 Rue Saint-Louis";"02 31 34 23 27";"fixe";"";"";"48334562500055";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Michel Serrurerie";"Nancy";"";"1 Rue Léopold Lallement";"+33 3 83358182;+33 6 16262151";"fixe";"michelserruerie@orange.fr";"https://www.michelserrurerie.fr/";"";"";"tél fixe, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"ASM Dépanne";"La Rochelle";"17000";"146 Avenue des Corsaires, 17000, La Rochelle";"05 46 51 95 60";"fixe";"contact@asmdepanne.fr";"https://asmdepanne.fr/";"";"";"tél fixe, nom d'entreprise propre, site web, email, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Haute";"6";"Serrurerie Bruno";"Antibes";"";"11 Boulevard Président Wilson";"04 93 34 01 73";"fixe";"";"";"38145767000051";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Serrurerie Extra";"Marseille";"";"";"07 82 82 82 08";"mobile";"";"";"";"";"mobile direct, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Point Fort Fichet";"Toulouse";"";"62 Rue de Bayard";"05 63 66 79 20";"fixe";"";"https://la-citadelle-toulousaine.com";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Serrurier Nantes Bélénos";"Nantes";"44300";"1 Rue du Benelux, 44300, Nantes";"02 40 43 24 14";"fixe";"";"https://www.belenos.services";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Mister Minit";"Pérols";"34470";"Avenue Georges Frêche, 34470, Pérols";"04 67 20 11 87";"fixe";"";"https://misterminit.eu/fr_fr/boutiques/mister-minit-perols-auchan";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Mister Minit";"Saint-Jean-de-Védas";"34430";"Route de Sète, 34430, Saint-Jean-de-Védas";"04 67 47 18 42";"fixe";"";"https://misterminit.eu/fr_fr/boutiques/mister-minit-saint-jean-de-vedas-carrefour";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Antenne Protection Services";"Bordeaux";"";"";"05 56 79 19 47";"fixe";"aps33000@gmail.com";"https://www.antenne-protection-services.fr/";"";"";"tél fixe, nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Abeille Services";"Bordeaux";"33200";"Patio Gambetta Rue Magnificat, 33200, Bordeaux";"05 56 64 79 48";"fixe";"";"https://www.abeille-depannage.com/";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"STS3";"Périgny";"17180";"2 Rue Jacques de Vaucanson, 17180, Périgny";"05 46 27 35 45";"fixe";"";"https://www.sts3.fr/";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Assistance Biterroise Serrurerie";"Béziers";"34500";"24 Avenue Président Wilson, 34500, Béziers";"04 67 94 48 27";"fixe";"";"https://www.serrureriebiterroise.fr/";"";"";"tél fixe, nom d'entreprise propre, site web, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Titus Services";"Antibes";"";"";"06 09 14 28 09";"mobile";"";"";"";"";"mobile direct, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Antibes Serrures Point Fort Pichet";"Antibes";"";"";"04 93 61 61 30";"fixe";"";"";"85258789800010";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"La Clé";"Antibes";"";"";"04 93 67 63 06";"fixe";"";"";"38418075800011";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Clé & Go";"Antibes";"";"";"04 93 43 05 05";"fixe";"";"";"49950166600030";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Versailles Entreprises";"Versailles";"";"";"01 39 51 11 90";"fixe";"";"";"39137158000021";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"5";"Time multi-services";"Argenteuil";"";"";"01 72 53 56 65";"fixe";"";"";"79101174500019";"";"tél fixe, SIREN/SIRET vérifiable, nom d'entreprise propre";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Établissements Lemaitre";"Nantes";"";"";"02 40 76 74 59";"fixe";"contact@lemaitre-serrurerie.fr";"";"";"";"tél fixe, nom d'entreprise propre, email";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Protec'Sur";"Montpellier";"";"";"04 67 63 86 11";"fixe";"";"https://protecsur-serrurier-montpellier.com/";"";"";"tél fixe, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"ABP Sécurité 2000";"Bordeaux";"33000";"97-99 Rue Georges Bonnac, 33000, Bordeaux";"05 56 96 09 93";"fixe";"";"";"";"";"tél fixe, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Point Fort Fichet";"Lille";"";"";"";"";"contact@batipro-services.fr";"https://batipro-services.fr/";"";"";"nom d'entreprise propre, site web, email";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Point Fort Fichet";"Lille";"";"";"09 77 83 70 43";"fixe";"";"https://www.fichet-pointfort-lille.fr/";"";"";"tél fixe, nom d'entreprise propre, site web";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Fisher Compagnons";"Rennes";"";"41 Square de la Rance, Rennes";"02 30 96 41 23";"fixe";"";"";"";"";"tél fixe, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Services Minutes";"Reims";"";"11";"03 26 04 58 17";"fixe";"";"";"";"";"tél fixe, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
"Moyenne";"4";"Métallerie Marthon Et Klein";"Saint-Brice-Courcelles";"51370";"14 E Avenue des Chenevières, 51370, Saint-Brice-Courcelles";"03 26 87 69 35";"fixe";"";"";"";"";"tél fixe, nom d'entreprise propre, adresse (boutique/atelier)";"À appeler";"";"";"openstreetmap"
